Ang. Meas. (°)	Ang. Cons. (°))	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm).1	Temp (K)	Applied Field (G)
-3,999192E+1	-4,000000E+1	2,509314E-2	1,000026E-3	2,509249E+1	-1,288653E-5	1,000023E-3	-1,288623E-2	1,000000E+0	-8,731149E-11	-1,145325E+10	-2,533700E-5	1,000000E+0	-2,533700E-5	2,938200E+2	1,505400E+4
-3,000480E+1	-3,000000E+1	2,513667E-2	1,000025E-3	2,513604E+1	-8,935762E-6	1,000022E-3	-8,935565E-3	1,000000E+0	-3,201421E-10	-3,123613E+9	-1,886400E-5	1,000000E+0	-1,886400E-5	2,938300E+2	1,505500E+4
-2,000552E+1	-2,000000E+1	2,517129E-2	1,000028E-3	2,517059E+1	-4,773458E-6	1,000027E-3	-4,773329E-3	1,000000E+0	-3,201421E-10	-3,123613E+9	-1,769700E-5	1,000000E+0	-1,769700E-5	2,938500E+2	1,505500E+4
-1,000520E+1	-1,000000E+1	2,519189E-2	1,000020E-3	2,519139E+1	-4,940678E-7	1,000018E-3	-4,940590E-4	1,000000E+0	-2,328306E-10	-4,294968E+9	-1,027500E-5	1,000000E+0	-1,027500E-5	2,938600E+2	1,505400E+4
-5,040000E-3	0,000000E+0	2,519927E-2	1,000025E-3	2,519864E+1	3,707580E-6	1,000021E-3	3,707502E-3	1,000000E+0	-1,455192E-10	-6,871945E+9	-8,383000E-6	1,000000E+0	-8,383000E-6	2,938900E+2	1,505400E+4
9,994720E+0	1,000000E+1	2,519599E-2	1,000024E-3	2,519539E+1	7,856418E-6	1,000024E-3	7,856230E-3	1,000000E+0	-2,328306E-10	-4,294968E+9	-3,135000E-6	1,000000E+0	-3,135000E-6	2,939100E+2	1,505400E+4
1,999360E+1	2,000000E+1	2,518062E-2	1,000026E-3	2,517997E+1	1,189581E-5	1,000021E-3	1,189556E-2	1,000000E+0	-2,619345E-10	-3,817748E+9	-1,370000E-6	1,000000E+0	-1,370000E-6	2,939400E+2	1,505500E+4
2,999480E+1	3,000000E+1	2,515489E-2	1,000022E-3	2,515434E+1	1,546354E-5	1,000017E-3	1,546328E-2	1,000000E+0	5,820766E-11	1,717987E+10	1,276000E-6	1,000000E+0	1,276000E-6	2,939700E+2	1,505500E+4
3,999480E+1	4,000000E+1	2,511547E-2	1,000025E-3	2,511484E+1	1,891217E-5	1,000022E-3	1,891176E-2	1,000000E+0	-6,693881E-10	-1,493902E+9	7,129000E-6	1,000000E+0	7,129000E-6	2,940000E+2	1,505500E+4
4,999368E+1	5,000000E+1	2,506093E-2	1,000021E-3	2,506040E+1	2,243584E-5	1,000018E-3	2,243544E-2	1,000000E+0	-2,619345E-10	-3,817748E+9	9,676000E-6	1,000000E+0	9,676000E-6	2,940500E+2	1,505600E+4
