Ang. Meas. (°)	Ang. Cons. (°))	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm).1	Temp (K)	Applied Field (G)
-3,999232E+1	-4,000000E+1	2,505177E-2	1,000027E-3	2,505109E+1	-1,199581E-5	1,000029E-3	-1,199546E-2	1,000000E+0	-5,820766E-11	-1,717987E+10	-2,484600E-5	1,000000E+0	-2,484600E-5	2,925600E+2	1,024200E+4
-3,000552E+1	-3,000000E+1	2,508793E-2	1,000022E-3	2,508738E+1	-7,854826E-6	1,000022E-3	-7,854653E-3	1,000000E+0	8,731149E-11	1,145325E+10	-2,088500E-5	1,000000E+0	-2,088500E-5	2,926000E+2	1,024200E+4
-2,000496E+1	-2,000000E+1	2,510758E-2	1,000025E-3	2,510695E+1	-3,614563E-6	1,000030E-3	-3,614455E-3	1,000000E+0	-5,820766E-10	-1,717987E+9	-1,772000E-5	1,000000E+0	-1,772000E-5	2,926300E+2	1,024100E+4
-1,000504E+1	-1,000000E+1	2,512271E-2	1,000023E-3	2,512213E+1	4,356864E-7	1,000022E-3	4,356768E-4	1,000000E+0	0,000000E+0	Inf	-1,524300E-5	1,000000E+0	-1,524300E-5	2,926600E+2	1,024100E+4
-5,040000E-3	0,000000E+0	2,513322E-2	1,000021E-3	2,513269E+1	4,442593E-6	1,000025E-3	4,442482E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-9,892000E-6	1,000000E+0	-9,892000E-6	2,927000E+2	1,024100E+4
9,994960E+0	1,000000E+1	2,513147E-2	1,000033E-3	2,513064E+1	8,427977E-6	1,000029E-3	8,427733E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-4,845000E-6	1,000000E+0	-4,845000E-6	2,927300E+2	1,024100E+4
1,999448E+1	2,000000E+1	2,512113E-2	1,000026E-3	2,512048E+1	1,231025E-5	1,000028E-3	1,230991E-2	1,000000E+0	-8,731149E-11	-1,145325E+10	5,900000E-7	1,000000E+0	5,900000E-7	2,927400E+2	1,024200E+4
2,999464E+1	3,000000E+1	2,510038E-2	1,000032E-3	2,509958E+1	1,609505E-5	1,000026E-3	1,609463E-2	1,000000E+0	-6,984919E-10	-1,431656E+9	-7,100000E-8	1,000000E+0	-7,100000E-8	2,927400E+2	1,024200E+4
3,999464E+1	4,000000E+1	2,506710E-2	1,000028E-3	2,506640E+1	1,970674E-5	1,000030E-3	1,970615E-2	1,000000E+0	0,000000E+0	Inf	6,049000E-6	1,000000E+0	6,049000E-6	2,927500E+2	1,024200E+4
4,999312E+1	5,000000E+1	2,502583E-2	1,000032E-3	2,502503E+1	2,396311E-5	1,000029E-3	2,396242E-2	1,000000E+0	-3,201421E-10	-3,123613E+9	9,638000E-6	1,000000E+0	9,638000E-6	2,927400E+2	1,024200E+4
