Ang. Meas. (°)	Ang. Cons. (°))	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm).1	Temp (K)	Applied Field (G)
-4,000656E+1	-4,000000E+1	2,479194E-2	1,000042E-3	2,479090E+1	1,184878E-4	1,000038E-3	1,184833E-1	1,000000E+0	0,000000E+0	Inf	1,040520E-4	1,000000E+0	1,040520E-4	2,902600E+2	1,022400E+4
-3,000400E+1	-3,000000E+1	2,487272E-2	1,000045E-3	2,487160E+1	1,071357E-4	1,000041E-3	1,071313E-1	1,000000E+0	-5,820766E-11	-1,717987E+10	9,294500E-5	1,000000E+0	9,294500E-5	2,902700E+2	1,022600E+4
-2,000632E+1	-2,000000E+1	2,494046E-2	1,000045E-3	2,493934E+1	8,284483E-5	1,000049E-3	8,284077E-2	1,000000E+0	5,820766E-11	1,717987E+10	6,871900E-5	1,000000E+0	6,871900E-5	2,902800E+2	1,022600E+4
-1,000488E+1	-1,000000E+1	2,498701E-2	1,000044E-3	2,498591E+1	4,856237E-5	1,000045E-3	4,856018E-2	1,000000E+0	0,000000E+0	Inf	3,804800E-5	1,000000E+0	3,804800E-5	2,902900E+2	1,022600E+4
-5,440000E-3	0,000000E+0	2,500870E-2	1,000050E-3	2,500745E+1	8,440408E-6	1,000047E-3	8,440012E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-7,007000E-6	1,000000E+0	-7,007000E-6	2,903100E+2	1,022600E+4
9,996240E+0	1,000000E+1	2,500324E-2	1,000048E-3	2,500204E+1	-3,266733E-5	1,000048E-3	-3,266576E-2	1,000000E+0	-2,910383E-11	-3,435974E+10	-4,545100E-5	1,000000E+0	-4,545100E-5	2,903200E+2	1,022600E+4
1,999608E+1	2,000000E+1	2,496997E-2	1,000049E-3	2,496875E+1	-6,973925E-5	1,000049E-3	-6,973583E-2	1,000000E+0	1,164153E-10	8,589936E+9	-8,313600E-5	1,000000E+0	-8,313600E-5	2,903400E+2	1,022600E+4
2,999648E+1	3,000000E+1	2,490952E-2	1,000052E-3	2,490822E+1	-9,816344E-5	1,000046E-3	-9,815893E-2	1,000000E+0	8,731149E-11	1,145325E+10	-1,124040E-4	1,000000E+0	-1,124040E-4	2,903500E+2	1,022500E+4
3,999608E+1	4,000000E+1	2,482784E-2	1,000048E-3	2,482665E+1	-1,145620E-4	1,000049E-3	-1,145564E-1	1,000000E+0	-2,910383E-11	-3,435974E+10	-1,289600E-4	1,000000E+0	-1,289600E-4	2,903600E+2	1,022500E+4
4,999608E+1	5,000000E+1	2,474010E-2	1,000045E-3	2,473899E+1	-1,172075E-4	1,000048E-3	-1,172019E-1	1,000000E+0	-8,731149E-11	-1,145325E+10	-1,285650E-4	1,000000E+0	-1,285650E-4	2,903700E+2	1,022500E+4
