Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
6,758000E+3	8,455000E+3	2,535352E-2	1,000016E-3	2,535311E+1	-7,934072E-6	1,000020E-3	-7,933913E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-1,973900E-5	1,000000E+0	-1,973900E-5
1,044800E+4	1,345500E+4	2,534285E-2	1,000017E-3	2,534242E+1	-7,257905E-6	1,000016E-3	-7,257789E-3	1,000000E+0	-2,619345E-10	-3,817748E+9	-1,832000E-5	1,000000E+0	-1,832000E-5
1,325400E+4	1,500000E+4	2,533277E-2	1,000024E-3	2,533216E+1	-6,387908E-6	1,000020E-3	-6,387780E-3	1,000000E+0	-4,656613E-10	-2,147484E+9	-1,753500E-5	1,000000E+0	-1,753500E-5
1,372900E+4	1,350000E+4	2,533326E-2	1,000020E-3	2,533275E+1	3,922529E-6	1,000021E-3	3,922447E-3	1,000000E+0	-2,328306E-10	-4,294968E+9	-9,210000E-6	1,000000E+0	-9,210000E-6
1,245800E+4	1,200000E+4	2,533940E-2	1,000019E-3	2,533892E+1	4,231544E-6	1,000021E-3	4,231455E-3	1,000000E+0	-5,529728E-10	-1,808407E+9	-8,198000E-6	1,000000E+0	-8,198000E-6
1,117800E+4	1,050000E+4	2,534301E-2	1,000014E-3	2,534266E+1	4,304270E-6	1,000021E-3	4,304179E-3	1,000000E+0	-5,238689E-10	-1,908875E+9	-9,616000E-6	1,000000E+0	-9,616000E-6
9,594000E+3	9,000000E+3	2,534729E-2	1,000018E-3	2,534683E+1	4,250552E-6	1,000017E-3	4,250480E-3	1,000000E+0	-2,328306E-10	-4,294968E+9	-8,871000E-6	1,000000E+0	-8,871000E-6
7,977000E+3	7,500000E+3	2,535310E-2	1,000011E-3	2,535282E+1	4,160122E-6	1,000017E-3	4,160051E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-6,555000E-6	1,000000E+0	-6,555000E-6
6,392000E+3	6,000000E+3	2,535897E-2	1,000012E-3	2,535867E+1	4,236268E-6	1,000012E-3	4,236217E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-1,066200E-5	1,000000E+0	-1,066200E-5
4,794000E+3	4,500000E+3	2,536352E-2	1,000026E-3	2,536286E+1	4,262521E-6	1,000016E-3	4,262452E-3	1,000000E+0	-4,947651E-10	-2,021161E+9	-8,991000E-6	1,000000E+0	-8,991000E-6
3,474000E+3	3,000000E+3	2,536956E-2	1,000016E-3	2,536915E+1	4,356672E-6	1,000017E-3	4,356598E-3	1,000000E+0	-4,656613E-10	-2,147484E+9	-9,065000E-6	1,000000E+0	-9,065000E-6
1,881000E+3	1,500000E+3	2,537369E-2	1,000017E-3	2,537326E+1	4,419039E-6	1,000016E-3	4,418968E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-6,541000E-6	1,000000E+0	-6,541000E-6
5,650000E+2	4,000000E+2	2,537848E-2	1,000017E-3	2,537805E+1	5,085950E-6	1,000017E-3	5,085863E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-7,204000E-6	1,000000E+0	-7,204000E-6
4,230000E+2	3,500000E+2	2,537889E-2	1,000014E-3	2,537853E+1	5,180003E-6	1,000009E-3	5,179956E-3	1,000000E+0	-4,656613E-10	-2,147484E+9	-8,342000E-6	1,000000E+0	-8,342000E-6
3,550000E+2	3,000000E+2	2,537729E-2	1,000009E-3	2,537706E+1	5,395064E-6	1,000011E-3	5,395004E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-8,307000E-6	1,000000E+0	-8,307000E-6
2,930000E+2	2,500000E+2	2,537739E-2	1,000011E-3	2,537711E+1	5,753063E-6	1,000013E-3	5,752988E-3	1,000000E+0	-5,238689E-10	-1,908875E+9	-9,043000E-6	1,000000E+0	-9,043000E-6
2,340000E+2	2,000000E+2	2,537813E-2	1,000010E-3	2,537788E+1	6,307213E-6	1,000009E-3	6,307156E-3	1,000000E+0	-3,492460E-10	-2,863311E+9	-7,059000E-6	1,000000E+0	-7,059000E-6
1,740000E+2	1,500000E+2	2,537822E-2	1,000014E-3	2,537786E+1	7,227608E-6	1,000015E-3	7,227500E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-4,491000E-6	1,000000E+0	-4,491000E-6
1,160000E+2	1,000000E+2	2,537745E-2	1,000008E-3	2,537725E+1	9,051402E-6	1,000015E-3	9,051266E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-2,156000E-6	1,000000E+0	-2,156000E-6
5,600000E+1	5,000000E+1	2,537847E-2	1,000010E-3	2,537822E+1	1,456744E-5	1,000015E-3	1,456722E-2	1,000000E+0	-2,910383E-10	-3,435974E+9	3,651000E-6	1,000000E+0	3,651000E-6
5,200000E+1	0,000000E+0	2,537662E-2	1,000005E-3	2,537649E+1	1,517219E-5	1,000009E-3	1,517206E-2	1,000000E+0	-4,947651E-10	-2,021161E+9	1,502000E-6	1,000000E+0	1,502000E-6
5,100000E+1	-5,000000E+1	2,537764E-2	1,000012E-3	2,537734E+1	1,542467E-5	1,000005E-3	1,542459E-2	1,000000E+0	-2,037268E-10	-4,908534E+9	2,812000E-6	1,000000E+0	2,812000E-6
-3,000000E+0	-1,000000E+2	2,529107E-2	1,000012E-3	2,529077E+1	9,522777E-5	1,000010E-3	9,522682E-2	1,000000E+0	-3,201421E-10	-3,123613E+9	7,682100E-5	1,000000E+0	7,682100E-5
-6,000000E+1	-1,500000E+2	2,537553E-2	1,000009E-3	2,537530E+1	1,386573E-5	1,000014E-3	1,386553E-2	1,000000E+0	-6,693881E-10	-1,493902E+9	2,190000E-7	1,000000E+0	2,190000E-7
-1,190000E+2	-2,000000E+2	2,537526E-2	1,000007E-3	2,537508E+1	8,872650E-6	1,000011E-3	8,872552E-3	1,000000E+0	-8,731149E-11	-1,145325E+10	-3,816000E-6	1,000000E+0	-3,816000E-6
