Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
4,487000E+3	4,426000E+3	2,455732E-2	1,000041E-3	2,455631E+1	-4,439631E-6	1,000038E-3	-4,439462E-3	1,000000E+0	5,529728E-10	1,808407E+9	-1,647600E-5	1,000000E+0	-1,647600E-5
6,216000E+3	6,426000E+3	2,454891E-2	1,000036E-3	2,454803E+1	-4,382394E-6	1,000037E-3	-4,382232E-3	1,000000E+0	1,746230E-10	5,726622E+9	-1,438900E-5	1,000000E+0	-1,438900E-5
8,021000E+3	8,426000E+3	2,454169E-2	1,000038E-3	2,454076E+1	-4,297595E-6	1,000038E-3	-4,297431E-3	1,000000E+0	1,746230E-10	5,726622E+9	-1,537800E-5	1,000000E+0	-1,537800E-5
9,879000E+3	1,000000E+4	2,453529E-2	1,000043E-3	2,453424E+1	-4,422227E-6	1,000043E-3	-4,422037E-3	1,000000E+0	2,328306E-10	4,294968E+9	-1,847300E-5	1,000000E+0	-1,847300E-5
9,219000E+3	9,000000E+3	2,454086E-2	1,000046E-3	2,453973E+1	-4,503404E-6	1,000038E-3	-4,503233E-3	1,000000E+0	2,328306E-10	4,294968E+9	-1,518100E-5	1,000000E+0	-1,518100E-5
8,250000E+3	8,000000E+3	2,454244E-2	1,000042E-3	2,454141E+1	-4,485802E-6	1,000043E-3	-4,485609E-3	1,000000E+0	2,328306E-10	4,294968E+9	-1,942200E-5	1,000000E+0	-1,942200E-5
7,253000E+3	7,000000E+3	2,454614E-2	1,000037E-3	2,454523E+1	-4,461259E-6	1,000041E-3	-4,461076E-3	1,000000E+0	1,164153E-10	8,589936E+9	-1,545300E-5	1,000000E+0	-1,545300E-5
6,226000E+3	6,000000E+3	2,455279E-2	1,000045E-3	2,455169E+1	-4,439532E-6	1,000041E-3	-4,439350E-3	1,000000E+0	2,910383E-10	3,435974E+9	-1,652400E-5	1,000000E+0	-1,652400E-5
5,177000E+3	5,000000E+3	2,455548E-2	1,000047E-3	2,455433E+1	-4,417603E-6	1,000045E-3	-4,417405E-3	1,000000E+0	3,201421E-10	3,123613E+9	-1,924700E-5	1,000000E+0	-1,924700E-5
4,253000E+3	4,000000E+3	2,455926E-2	1,000046E-3	2,455813E+1	-4,391249E-6	1,000039E-3	-4,391078E-3	1,000000E+0	2,910383E-10	3,435974E+9	-1,486300E-5	1,000000E+0	-1,486300E-5
